"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.958536144E1,6.501222080E1,2.551421905E1,5.534019862E0,1.090000033E0,2.010000000E2,3.000000000E0,1.000000000E2
8.055083152E1,6.501220927E1,2.551421293E1,5.534024524E0,1.059999943E0,2.048000031E2,3.000000000E0,1.000000000E2
8.156687421E1,6.501220307E1,2.551420145E1,5.534027986E0,1.100000024E0,2.056999969E2,3.000000000E0,1.000000000E2
8.257840260E1,6.501219184E1,2.551419156E1,5.534032986E0,1.149999976E0,2.011999969E2,3.000000000E0,1.000000000E2
8.355672490E1,6.501217750E1,2.551417655E1,5.534039645E0,1.039999962E0,1.995000000E2,3.000000000E0,1.000000000E2
8.457483263E1,6.501216669E1,2.551416817E1,5.534044327E0,1.079999924E0,1.998999939E2,3.000000000E0,1.000000000E2
8.557814178E1,6.501215994E1,2.551416038E1,5.534047547E0,1.090000033E0,1.990000000E2,3.000000000E0,1.000000000E2
8.657745275E1,6.501215123E1,2.551415962E1,5.534050622E0,1.100000024E0,2.018000031E2,3.500000000E0,1.000000000E2
8.756069955E1,6.501214012E1,2.551415627E1,5.534054820E0,1.129999995E0,2.053999939E2,3.000000000E0,1.000000000E2
8.855647709E1,6.501212860E1,2.551414437E1,6.534060156E0,1.179999948E0,2.086999969E2,3.000000000E0,1.000000000E2
8.955037505E1,6.501211866E1,2.551413456E1,6.534064702E0,1.209999919E0,2.055000000E2,3.000000000E0,1.000000000E2
9.055911097E1,6.501210877E1,2.551412450E1,7.534069264E0,1.059999943E0,2.056999969E2,3.000000000E0,1.000000000E2
9.155897470E1,6.501210349E1,2.551411939E1,8.534071669E0,1.069999933E0,2.036999969E2,3.000000000E0,1.000000000E2
9.258036547E1,6.501209176E1,2.551411319E1,8.534076414E0,1.429999948E0,1.988000031E2,3.000000000E0,1.000000000E2
9.358308097E1,6.501207994E1,2.551410237E1,9.534081725E0,1.220000029E0,1.963000031E2,3.000000000E0,1.000000000E2
9.456161197E1,6.501206934E1,2.551409223E1,9.534086541E0,1.110000014E0,1.866000061E2,2.500000000E0,1.000000000E2
9.555663505E1,6.501206041E1,2.551408729E1,9.534090177E0,1.120000005E0,1.798000031E2,2.500000000E0,1.000000000E2
9.657919385E1,6.501205178E1,2.551409014E1,9.534092805E0,1.079999924E0,1.733000031E2,2.500000000E0,1.000000000E2
9.755921562E1,6.501204427E1,2.551410489E1,1.053409366E1,1.240000010E0,1.511000061E2,2.500000000E0,1.000000000E2
9.854504297E1,6.501203497E1,2.551412442E1,1.053409457E1,1.309999943E0,1.393999939E2,2.500000000E0,1.000000000E2
9.956597131E1,6.501202445E1,2.551414437E1,1.053409586E1,1.309999943E0,1.373000031E2,2.500000000E0,1.000000000E2
1.005629903E2,6.501201728E1,2.551416473E1,1.153409594E1,1.309999943E0,1.281000061E2,3.000000000E0,1.000000000E2
1.015520059E2,6.501201028E1,2.551418485E1,1.153409600E1,1.259999990E0,1.225999985E2,2.500000000E0,1.000000000E2
1.025654293E2,6.501200308E1,2.551420472E1,1.153409615E1,1.269999981E0,1.220000000E2,3.000000000E0,1.000000000E2
1.035860246E2,6.501199599E1,2.551422316E1,1.253409643E1,1.220000029E0,1.234000015E2,2.500000000E0,1.000000000E2
1.045615118E2,6.501199096E1,2.551424461E1,1.253409566E1,1.240000010E0,1.233000031E2,2.500000000E0,1.000000000E2
1.055850215E2,6.501198631E1,2.551427512E1,1.153409370E1,1.269999981E0,1.136999969E2,2.500000000E0,1.000000000E2
1.065606089E2,6.501198149E1,2.551430337E1,1.153409206E1,1.169999957E0,1.075999985E2,2.500000000E0,1.000000000E2
1.075562510E2,6.501198007E1,2.551432818E1,1.153408965E1,1.179999948E0,1.060000000E2,2.500000000E0,1.000000000E2
1.085625558E2,6.501197676E1,2.551435400E1,1.153408778E1,1.220000029E0,1.069000015E2,2.500000000E0,1.000000000E2
1.095608877E2,6.501197387E1,2.551438442E1,1.053408523E1,1.259999990E0,1.045000000E2,2.500000000E0,1.000000000E2
1.105483786E2,6.501197332E1,2.551441292E1,1.153408209E1,1.199999928E0,1.066999969E2,3.000000000E0,1.000000000E2
1.115764299E2,6.501197160E1,2.551444050E1,1.153407947E1,1.199999928E0,1.075999985E2,3.000000000E0,1.000000000E2
1.125680074E2,6.501196670E1,2.551446372E1,1.153407844E1,1.169999957E0,1.075999985E2,3.000000000E0,1.000000000E2
1.135538706E2,6.501196297E1,2.551448501E1,1.153407724E1,1.139999986E0,1.060000000E2,3.000000000E0,1.000000000E2
1.145824501E2,6.501196045E1,2.551450923E1,1.153407528E1,1.139999986E0,1.083000031E2,3.000000000E0,1.000000000E2
1.155589629E2,6.501195631E1,2.551452926E1,1.153407436E1,1.149999976E0,1.075999985E2,3.000000000E0,1.000000000E2
1.165568948E2,6.501195291E1,2.551455399E1,1.153407265E1,1.059999943E0,1.125000000E2,3.000000000E0,1.000000000E2
1.175711857E2,6.501194981E1,2.551457486E1,1.053407128E1,1.069999933E0,1.189000015E2,3.000000000E0,1.000000000E2
1.185645375E2,6.501194486E1,2.551460805E1,1.053406910E1,1.069999933E0,1.215999985E2,3.000000000E0,1.000000000E2
1.195423127E2,6.501193824E1,2.551462859E1,1.053406897E1,1.059999943E0,1.228000031E2,3.000000000E0,1.000000000E2
1.205543415E2,6.501193179E1,2.551465600E1,1.053406799E1,1.059999943E0,1.135999985E2,3.000000000E0,1.000000000E2
1.215415426E2,6.501192575E1,2.551468064E1,1.053406718E1,1.149999976E0,1.135000000E2,3.000000000E0,1.000000000E2
1.225472113E2,6.501191775E1,2.551471082E1,1.053406641E1,1.319999933E0,1.176999969E2,3.000000000E0,1.000000000E2
1.235544389E2,6.501190945E1,2.551474208E1,1.053406560E1,1.189999938E0,1.133000031E2,3.000000000E0,1.000000000E2
1.245573851E2,6.501190455E1,2.551476823E1,9.534064234E0,1.289999962E0,1.115000000E2,3.000000000E0,1.000000000E2
1.255541659E2,6.501189684E1,2.551480218E1,1.053406292E1,1.329999924E0,1.134000015E2,3.000000000E0,1.000000000E2
1.265811573E2,6.501189231E1,2.551483277E1,1.053406090E1,1.269999981E0,1.095999985E2,3.500000000E0,1.000000000E2
